date,open,high,low,close,volume,hold,settle,品种,交易所,合约代码
2017-11-17,96.435,96.44,96.32,96.34,10468,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-20,92.73,92.88,92.425,92.605,51677,0,0.0,10年期国债期货,CFFEX,T0
2017-11-20,96.32,96.415,96.19,96.35,12221,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-21,92.45,92.65,92.22,92.555,67800,0,0.0,10年期国债期货,CFFEX,T0
2017-11-21,96.27,96.36,96.11,96.3,16581,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-22,92.27,92.34,92.01,92.05,55862,0,0.0,10年期国债期货,CFFEX,T0
2017-11-22,96.29,96.29,95.935,95.97,12511,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-23,92.075,92.355,92.035,92.105,48063,0,0.0,10年期国债期货,CFFEX,T0
2017-11-23,96.01,96.12,95.97,96.0,9737,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-24,92.305,92.55,92.22,92.48,44399,0,0.0,10年期国债期货,CFFEX,T0
2017-11-24,96.1,96.23,96.065,96.19,6150,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-27,92.565,92.605,92.35,92.42,36510,0,0.0,10年期国债期货,CFFEX,T0
2017-11-27,96.2,96.27,96.12,96.185,10900,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-28,92.45,92.575,92.22,92.3,44992,0,0.0,10年期国债期货,CFFEX,T0
2017-11-28,96.175,96.32,96.11,96.14,11799,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-29,92.29,93.03,92.21,92.975,53986,0,0.0,10年期国债期货,CFFEX,T0
2017-11-29,96.095,96.62,96.05,96.54,12796,0,0.0,5年期国债期货,CFFEX,TF0
2017-11-30,92.855,93.12,92.695,93.04,45815,0,0.0,10年期国债期货,CFFEX,T0
2017-11-30,96.49,96.64,96.375,96.58,10598,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-01,92.91,93.195,92.845,92.98,52469,0,0.0,10年期国债期货,CFFEX,T0
2017-12-01,96.545,96.68,96.455,96.545,9240,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-04,92.945,93.1,92.7,92.99,44809,0,0.0,10年期国债期货,CFFEX,T0
2017-12-04,96.515,96.615,96.4,96.52,8840,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-05,93.13,93.27,92.81,92.95,55371,0,0.0,10年期国债期货,CFFEX,T0
2017-12-05,96.58,96.7,96.445,96.52,14019,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-06,92.97,93.11,92.745,92.985,43523,0,0.0,10年期国债期货,CFFEX,T0
2017-12-06,96.55,96.595,96.43,96.535,10265,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-07,93.04,93.085,92.81,92.89,36200,0,0.0,10年期国债期货,CFFEX,T0
2017-12-07,96.58,96.595,96.42,96.44,10201,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-08,92.95,92.965,92.63,92.675,40358,0,0.0,10年期国债期货,CFFEX,T0
2017-12-08,96.49,96.49,96.25,96.345,12205,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-11,92.67,92.715,92.375,92.48,50294,0,0.0,10年期国债期货,CFFEX,T0
2017-12-11,96.31,96.35,96.155,96.2,9293,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-12,92.34,92.555,92.265,92.395,42978,0,0.0,10年期国债期货,CFFEX,T0
2017-12-12,96.12,96.22,96.06,96.11,9707,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-13,92.365,92.535,92.315,92.445,35122,0,0.0,10年期国债期货,CFFEX,T0
2017-12-13,96.09,96.225,96.075,96.165,10641,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-14,92.6,92.755,92.55,92.63,39281,0,0.0,10年期国债期货,CFFEX,T0
2017-12-14,96.25,96.33,96.21,96.29,8082,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-15,92.65,92.98,92.64,92.905,39611,0,0.0,10年期国债期货,CFFEX,T0
2017-12-15,96.29,96.51,96.29,96.435,11212,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-18,92.985,93.12,92.78,92.86,31245,0,0.0,10年期国债期货,CFFEX,T0
2017-12-18,96.465,96.58,96.37,96.415,8375,0,0.0,5年期国债期货,CFFEX,TF0
2017-12-19,92.865,92.985,92.77,92.82,33751,0,0.0,10年期国债期货,CFFEX,T0
2017-12-19,96.425,96.49,96.36,96.395,6967,0,0.0,5年期国债期货,CFFEX,TF0
