股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.601866,2435.0,-0.0001290946450700982,0.024768305976038713,-0.10676797542570605,-0.010526412986987504,0.0,0.009227298044930204,0.09655473503652948,0.13456719873941966,5.269277117879106
sh.601868,906.0,-0.0001876805245475336,0.017065610789856495,-0.10334235150158896,-0.00851068966790862,0.0,0.004597709248629328,0.09696170784279805,0.7952916520116321,9.589938163969432
sh.601872,2445.0,0.00011837812374293824,0.028541223246961143,-0.10627542880490354,-0.01322770609755109,0.0,0.012931214672248784,0.09612884542516088,0.023368314254064517,2.8308973675935216
sh.601877,2408.0,5.287866206347586e-05,0.02436144151330115,-0.10546902848957525,-0.012934161119951,-0.0005426874492116565,0.011351308487844842,0.09546193638705791,0.0908916737027905,3.03338695860576
sh.601878,1945.0,-1.1085514981102287e-05,0.026222002464551763,-0.10568356524874752,-0.012504276120092353,-0.0009119927672693508,0.01079500178689959,0.09571776081669232,0.3000462363531694,3.661344518476373
sh.601881,2045.0,0.00034696080788994185,0.025203412232798095,-0.10585300520237813,-0.012578782206860073,-0.0008639309392640184,0.011254138074423334,0.0958817717032825,0.4952472273838404,3.7063339420870824
sh.601888,2490.0,0.0003953792770650742,0.027705740713137285,-0.10544138582082382,-0.014246629093153738,-0.0004630950178466109,0.013353347380369644,0.09538331396898252,0.12196195383121188,2.4624407556627017
sh.601898,2547.0,0.0002294580331561547,0.025227004525517568,-0.1060745463914833,-0.01055804524035812,0.0,0.01191199737176437,0.09589089991356008,-0.22584092117579319,4.090746368585951
sh.601899,2514.0,0.0006648291309546306,0.02494826911352684,-0.10616019582839067,-0.012208161795582671,0.0,0.01230469497020708,0.09646026618756232,0.019668153178711078,2.925544240581156
sh.601901,2532.0,-0.00014396877289536862,0.024543815623806937,-0.10591208765195352,-0.010443631032868958,0.0,0.00961050900483816,0.09599347330545745,0.11174911288908665,4.680599459260838
sh.601916,1347.0,-3.391653752491565e-05,0.011524446459273306,-0.10633564981603269,-0.005673876828378399,0.0,0.005044154908012937,0.09509422040385256,0.023715805332648218,13.375473370797271
sh.601919,2400.0,0.0005752722313233631,0.0287328821275002,-0.10583210255645065,-0.01233823354900247,0.0,0.013165509572118157,0.09607383008962224,-0.07303175970685877,3.1815495221228205
sh.601928,2544.0,0.00011463233575629715,0.023593614881936825,-0.1057736534451527,-0.01023307470116039,0.0,0.009830802004871417,0.09575354048549553,-0.28232723462245196,4.8683641171691505
sh.601929,2538.0,-0.0005277045447030327,0.026102645949910196,-0.10919929196499184,-0.011034657533837504,0.0,0.010729753652746449,0.09776416876589163,-0.3044182694657838,4.426561263013555
