股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.600895,2545.0,16.86473597344597,4.590512763568815,7.41869902,13.7997,16.25621634,18.739422,34.9042473,0.9254355706274247,0.9448087181311515
sh.600900,2429.0,16.197588592890078,5.864491691567958,6.3108405,11.86109034,15.2633628,20.18550299,30.11625327,0.529907099725163,-0.5631835865297896
sh.600905,982.0,5.146676769276986,0.8129361429617746,3.60645054,4.47743224,5.1152472,5.6859533849999995,7.54333503,0.552990136325389,-0.6678967095222781
sh.600909,2073.0,5.447136340849011,1.3403956203704206,3.29576815,4.52464435,5.0507856,5.89267462,11.69929012,1.4933550759693464,2.209302909667253
sh.600918,1230.0,8.634435406682927,3.143841460406089,5.3250369,6.589623824999999,7.11239367,9.7807641975,20.9285391,1.451848371870982,1.1044795422408105
sh.600919,2156.0,5.5273927637198526,1.4445049567631858,3.6983501,4.48004022,5.295531329999999,6.065686765000001,11.84727132,1.4371942494099235,2.297549326775843
sh.600926,2107.0,9.732038933374465,2.72332720894472,5.68812299,6.99065832,10.00735164,12.045517230000002,17.04883632,0.14595912784169607,-1.1953610154299552
sh.600928,1536.0,4.128318273138021,1.2057014015643925,2.8706601,3.30775305,3.70367816,4.48657188,10.08752458,2.0606342240506157,5.005338535461698
sh.600938,773.0,19.906937532302717,5.690566148499252,10.5778368,14.34964475,18.1660458,25.57980705,32.1104049,0.18804236116710057,-1.4656620399679163
sh.600941,842.0,82.36114760365797,19.87263381299772,47.54731838,60.62308525,87.42840078,98.4264356325,113.94767709,-0.3945540628195657,-1.2574173798759776
sh.600958,2486.0,10.944715625048271,3.8471213286063755,6.5178918,8.3972053225,9.68363978,12.642308419999999,32.81447083,2.3708902561675296,7.472888780776824
sh.600959,2371.0,5.664084931429776,4.501623888605296,2.57673294,3.1207872,3.60054662,7.17719786,45.4919274,3.1177447653057717,14.93695728608382
sh.600968,1458.0,2.841880142139918,0.6455637857455341,1.96587675,2.31407559,2.694677765,3.1277887625000003,4.6819122,0.7788610209478479,-0.5288275430845206
sh.600977,2157.0,13.898324911557719,3.522653444567114,9.63566183,11.71006746,13.05514614,14.8449398,35.5014924,2.2011540382369357,6.31704665940825
sh.600989,1486.0,12.536300209030955,2.6470201828541193,6.6750298,10.95016748,13.08851186,14.639691855,18.10753952,-0.5600516356520692,-0.7665497391844349
